"m/z","RT","intensity","traceID","envelopeID"
"659.211975","2486.77","12.444823","0","0"
"659.218262","2502.34","8.785123","0","0"
"659.218811","2494.57","7.319663","0","0"
"659.219299","2500.78","5.125247","0","0"
"659.221497","2497.68","2.194459","0","0"
"659.221985","2489.89","8.052444","0","0"
"659.222778","2499.23","4.028018","0","0"
"659.223145","2506.98","5.486169","0","0"
"659.223877","2491.45","7.02301","0","0"
"659.234558","2505.44","1.465404","0","0"
"659.236938","2482.03","4.213389","0","0"
"659.240173","2494.57","3.291736","0","0"
"659.240662","2485.21","6.496425","0","0"
"659.245056","2493.01","1.758498","0","0"
"659.245422","2488.33","4.103151","0","0"
"659.253845","2497.68","2.194519","0","0"
"659.256714","2480.42","5.397397","0","0"
"659.261841","2499.23","7.316298","0","0"
"659.27124","2505.44","6.581782","0","0"
"659.272034","2502.34","7.680892","0","0"
"659.274475","2485.21","7.723716","0","0"
"659.296692","2500.78","51.336544","0","0"
"659.296814","2494.57","40.554581","0","0"
"659.297058","2503.89","31.411621","0","0"
"659.299377","2478.78","48.658237","0","0"
"659.299438","2497.68","41.278416","0","0"
"659.30011","2505.44","22.662369","0","0"
"659.300354","2488.33","53.381058","0","0"
"659.300903","2486.77","54.839375","0","0"
"659.301453","2506.98","52.652061","0","0"
"659.301514","2493.01","59.59309","0","0"
"659.301514","2496.13","56.295826","0","0"
"659.302246","2482.03","64.3414","0","0"
"659.302795","2491.45","37.293518","0","0"
"659.303223","2483.63","66.880615","0","0"
"659.303467","2489.89","57.03051","0","0"
"659.303955","2499.23","26.29705","0","0"
"659.30481","2502.34","51.916149","0","0"
"659.305969","2480.42","46.385853","0","0"
"659.307861","2485.21","15.22042","0","0"
"659.330811","2485.21","12.197943","0","0"
"659.332703","2499.23","6.286861","0","0"
"659.337524","2491.45","6.94854","0","0"
"659.344238","2494.57","8.047748","0","0"
"659.34668","2505.44","6.584033","0","0"
"659.346863","2503.89","14.635433","0","0"
"659.349487","2500.78","21.937683","0","0"
"659.35199","2496.13","9.876048","0","0"
"659.352661","2478.78","9.388151","0","0"
"659.353149","2499.23","1.463732","0","0"
"659.355713","2480.42","11.470425","0","0"
"659.356323","2497.68","7.316861","0","0"
"659.356384","2483.63","18.640368","0","0"
"659.357971","2482.03","3.730971","0","0"
"659.365417","2506.98","1.465552","0","0"
"659.36554","2491.45","1.758664","0","0"
"659.369446","2502.34","5.862254","0","0"
"659.373962","2493.01","9.154313","0","0"
"659.375305","2506.98","4.385815","0","0"
"659.377014","2494.57","4.757662","0","0"
"659.38446","2478.78","4.048485","0","0"
"659.38446","2496.13","4.389476","0","0"
"659.386658","2491.45","3.295748","0","0"
"659.392456","2482.03","4.170011","0","0"
"659.396362","2499.23","8.793577","0","0"
"659.399902","2506.98","1.465592","0","0"
"659.401306","2497.68","8.0535","0","0"
"659.40332","2480.42","2.76649","0","0"
"659.404907","2500.78","8.053535","0","0"
"659.410706","2494.57","3.664014","0","0"
"659.416382","2503.89","2.19479","0","0"
"659.422607","2502.34","4.396848","0","0"
"659.440063","2496.13","2.931267","0","0"
"659.44458","2482.03","11.413156","0","0"
"659.45343","2494.57","1.462022","0","0"
"659.458069","2480.42","8.097414","0","0"
"659.460449","2502.34","9.15132","0","0"
"659.461731","2499.23","8.057526","0","0"
"659.463806","2493.01","15.374825","0","0"
"659.46698","2496.13","5.855412","0","0"
"659.46759","2503.89","2.415084","0","0"
"659.474182","2494.57","2.198511","0","0"
"659.478699","2503.89","1.46568","0","0"
"659.492371","2506.98","8.422279","0","0"
"659.497803","2489.89","1.463886","0","0"
"659.498596","2478.78","3.134562","0","0"
"659.502258","2482.03","1.316953","0","0"
"659.502625","2500.78","3.292385","0","0"
"659.502991","2502.34","1.758848","0","0"
"659.506592","2505.44","5.855555","0","0"
"659.508667","2497.68","1.465713","0","0"
"659.510925","2491.45","3.660662","0","0"
"659.519592","2503.89","3.660683","0","0"
"659.520386","2486.77","4.39717","0","0"
"659.520447","2485.21","8.302727","0","0"
"659.525146","2500.78","5.48196","0","0"
"659.533203","2505.44","5.852069","0","0"
"659.535461","2488.33","3.291379","0","0"
"659.546997","2499.23","33.275249","0","0"
"659.550598","2506.98","28.888905","0","0"
"659.552368","2485.21","20.208637","0","0"
"659.553589","2482.03","56.876328","0","0"
"659.553711","2494.57","34.886223","0","0"
"659.553772","2502.34","34.744709","0","0"
"659.553894","2503.89","23.405087","0","0"
"659.554321","2480.42","44.538784","0","0"
"659.554443","2493.01","48.26495","0","0"
"659.555237","2496.13","44.616772","0","0"
"659.555481","2486.77","25.964731","0","0"
"659.555725","2491.45","43.871437","0","0"
"659.555969","2478.78","26.361933","0","0"
"659.556702","2483.63","46.606724","0","0"
"659.556946","2489.89","37.66531","0","0"
"659.557007","2497.68","46.438293","0","0"
"659.557861","2500.78","26.615282","0","0"
"659.558289","2505.44","23.04059","0","0"
"659.558716","2488.33","24.502649","0","0"
"659.570923","2485.21","1.444017","0","0"
"659.577637","2506.98","2.195062","0","0"
"659.589966","2503.89","6.953511","0","0"
"659.595276","2499.23","1.319227","0","0"
"659.600525","2486.77","2.196903","0","0"
"659.602234","2491.45","1.829731","0","0"
"659.60376","2483.63","7.23908","0","0"
"659.604126","2500.78","2.563368","0","0"
"659.606201","2505.44","9.506092","0","0"
"659.608337","2480.42","5.230171","0","0"
"659.609436","2485.21","12.346693","0","0"
"659.610291","2489.89","8.780417","0","0"
"659.613647","2488.33","13.167104","0","0"
"659.61377","2493.01","11.704859","0","0"
"659.614685","2496.13","8.051173","0","0"
"659.615173","2482.03","6.585377","0","0"
"659.617126","2502.34","10.971982","0","0"
"659.618164","2478.78","5.7436","0","0"
"659.61853","2497.68","10.251829","0","0"
"659.618958","2494.57","6.578115","0","0"
"659.622375","2506.98","11.342095","0","0"
"659.623291","2499.23","11.701328","0","0"
"659.623901","2486.77","11.345729","0","0"
"659.627075","2491.45","2.929879","0","0"
"659.629028","2503.89","6.14458","0","0"
"659.6297","2500.78","1.975621","0","0"
"659.642212","2500.78","2.195522","0","0"
"659.642639","2506.98","8.78614","0","0"
"659.646484","2502.34","6.953785","0","0"
"659.651428","2493.01","5.995531","0","0"
"659.654358","2489.89","10.385931","0","0"
"659.654785","2505.44","4.386737","0","0"
"659.655701","2486.77","2.561649","0","0"
"659.658752","2478.78","1.642219","0","0"
"659.659058","2500.78","9.510063","0","0"
"659.659546","2483.63","16.443926","0","0"
"659.660278","2503.89","9.876556","0","0"
"659.663208","2480.42","8.672285","0","0"
"659.664124","2496.13","13.174842","0","0"
"659.66449","2485.21","10.108808","0","0"
"659.664795","2488.33","9.14547","0","0"
"659.665833","2491.45","17.200714","0","0"
"659.671326","2497.68","6.587454","0","0"
"659.672119","2493.01","4.756912","0","0"
"659.675781","2494.57","19.381317","0","0"
"659.683533","2489.89","2.928182","0","0"
"659.684692","2500.78","1.830571","0","0"
"659.684814","2480.42","2.024698","0","0"
"659.685608","2502.34","10.250474","0","0"
"659.686218","2486.77","1.759091","0","0"
"659.687744","2503.89","3.292859","0","0"
"659.688049","2478.78","3.918768","0","0"
"659.692444","2505.44","8.055262","0","0"
"659.705872","2483.63","1.643725","0","0"
"659.706665","2485.21","2.166234","0","0"
"659.738342","2485.21","24.908812","3479","5"
"659.739563","2502.34","30.792223","3479","5"
"659.739685","2483.63","34.827633","3479","5"
"659.740234","2497.68","36.20837","3479","5"
"659.740967","2506.98","43.895432","3479","5"
"659.742432","2482.03","42.823357","3479","5"
"659.742554","2489.89","29.90905","3479","5"
"659.742798","2478.78","42.381844","3479","5"
"659.742859","2499.23","29.992493","3479","5"
"659.743103","2480.42","34.252533","3479","5"
"659.743347","2500.78","43.888435","3479","5"
"659.743774","2493.01","28.664837","3479","5"
"659.744202","2496.13","29.552683","3479","5"
"659.744263","2488.33","34.740585","3479","5"
"659.744324","2491.45","38.40015","3479","5"
"659.744568","2494.57","55.953701","3479","5"
"659.745789","2503.89","45.349075","3479","5"
"659.745911","2505.44","32.543564","3479","5"
"659.747253","2486.77","33.282017","3479","5"
"659.774841","2491.45","2.191751","0","0"
"659.796265","2483.63","31.267412","0","0"
"659.796509","2500.78","44.619808","0","0"
"659.797546","2488.33","49.736393","0","0"
"659.798218","2496.13","56.322639","0","0"
"659.798279","2506.98","46.446983","0","0"
"659.799133","2499.23","46.815281","0","0"
"659.7995","2480.42","61.252327","0","0"
"659.800171","2502.34","80.815338","0","0"
"659.800842","2478.78","40.599789","0","0"
"659.801208","2491.45","34.01646","0","0"
"659.801392","2503.89","53.036953","0","0"
"659.802368","2494.57","35.101452","0","0"
"659.80365","2482.03","73.371056","0","0"
"659.804626","2497.68","51.217133","0","0"
"659.804749","2493.01","22.678232","0","0"
"659.806396","2485.21","39.706444","0","0"
"659.806458","2489.89","36.055496","0","0"
"659.807007","2505.44","44.260639","0","0"
"659.810608","2486.77","52.311546","0","0"
"659.823975","2483.63","7.130731","0","0"
"659.834167","2493.01","10.251695","0","0"
"659.842834","2485.21","6.78827","0","0"
"659.848511","2491.45","2.928546","0","0"
"659.848511","2494.57","4.67988","0","0"
"659.852234","2499.23","3.661611","0","0"
"659.853638","2480.42","5.062396","0","0"
"659.85907","2489.89","6.218223","0","0"
"659.860413","2505.44","2.563861","0","0"
"659.862061","2483.63","1.972708","0","0"
"659.863403","2496.13","3.665268","0","0"
"659.88385","2478.78","2.612894","0","0"
"659.884338","2483.63","2.191937","0","0"
"659.887451","2494.57","2.932264","0","0"
"659.888245","2482.03","4.171587","0","0"
"659.889771","2493.01","4.39114","0","0"
"659.890198","2485.21","2.888721","0","0"
"659.904175","2505.44","6.229337","0","0"
"659.908081","2483.63","1.369983","0","0"
"659.908752","2496.13","3.665389","0","0"
"659.913757","2482.03","1.668664","0","0"
"659.914062","2488.33","6.590447","0","0"
"659.914124","2502.34","2.199237","0","0"
"659.915161","2489.89","1.759389","0","0"
"659.915955","2499.23","1.319546","0","0"
"659.922668","2486.77","4.3985","0","0"
"659.930054","2494.57","8.417796","0","0"
"659.941345","2493.01","7.691984","0","0"
"659.947083","2502.34","36.599155","0","0"
"659.952087","2499.23","17.710585","0","0"
"659.953735","2497.68","19.396341","0","0"
"659.955505","2488.33","28.153811","0","0"
"659.955566","2496.13","22.325226","0","0"
"659.955933","2505.44","25.239569","0","0"
"659.956055","2486.77","36.575481","0","0"
"659.957214","2500.78","22.364052","0","0"
"659.957947","2494.57","10.241701","0","0"
"659.958374","2478.78","35.273251","0","0"
"659.958496","2483.63","30.328686","0","0"
"659.958496","2491.45","36.21809","0","0"
"659.959412","2482.03","36.250614","0","0"
"659.959534","2480.42","33.24559","0","0"
"659.959656","2493.01","12.807555","0","0"
"659.960693","2506.98","31.106207","0","0"
"659.961914","2485.21","34.650108","0","0"
"659.962158","2503.89","14.633039","0","0"
"659.962219","2489.89","32.76329","0","0"
"659.990479","2497.68","5.120985","0","0"
"659.991333","2480.42","3.949073","0","0"
"659.993896","2503.89","10.169407","0","0"
"659.994629","2482.03","8.651263","0","0"
"659.995056","2483.63","7.951862","0","0"
"659.995789","2494.57","13.53924","0","0"
"659.996765","2493.01","13.539221","0","0"
"660.000671","2485.21","7.150209","0","0"
"660.003723","2496.13","5.493044","0","0"
"660.00415","2499.23","4.758109","0","0"
"660.005005","2489.89","10.97698","0","0"
"660.00531","2506.98","5.122863","0","0"
"660.007141","2500.78","1.466267","0","0"
"660.014893","2505.44","3.66205","0","0"
"660.02179","2488.33","5.857857","0","0"
"660.024414","2480.42","1.856444","0","0"
"660.031189","2497.68","4.398845","0","0"
"660.04834","2486.77","32.930283","0","0"
"660.050476","2485.21","21.303261","0","0"
"660.052673","2496.13","27.809242","0","0"
"660.052917","2493.01","27.801901","0","0"
"660.053223","2494.57","27.809292","0","0"
"660.053345","2491.45","31.464252","0","0"
"660.053833","2503.89","12.813996","0","0"
"660.054077","2497.68","27.067055","0","0"
"660.054321","2482.03","26.320789","0","0"
"660.054443","2478.78","18.543056","0","0"
"660.054688","2506.98","32.926811","0","0"
"660.05481","2483.63","27.979837","0","0"
"660.054871","2489.89","26.34647","0","0"
"660.055115","2499.23","18.2945","0","0"
"660.055176","2488.33","34.75803","0","0"
"660.055847","2500.78","30.74193","0","0"
"660.056824","2480.42","19.408796","0","0"
"660.057495","2502.34","29.631533","0","0"
"660.05957","2505.44","21.221729","0","0"
"660.080139","2499.23","1.46635","0","0"
"660.080994","2497.68","2.92907","0","0"
"660.081665","2485.21","3.250289","0","0"
"660.08844","2505.44","2.195904","0","0"
"660.097534","2506.98","2.19592","0","0"
"660.120972","2485.21","24.558455","0","0"
"660.121277","2494.57","29.273495","0","0"
"660.12146","2497.68","16.469687","0","0"
"660.123291","2489.89","35.13541","0","0"
"660.123352","2496.13","16.834524","0","0"
"660.123535","2502.34","10.611378","0","0"
"660.124207","2478.78","34.810966","0","0"
"660.124268","2491.45","22.685625","0","0"
"660.124329","2505.44","15.734718","0","0"
"660.12439","2500.78","18.299133","0","0"
"660.126892","2483.63","33.5718","0","0"
"660.126953","2480.42","45.739773","0","0"
"660.127075","2506.98","18.304619","0","0"
"660.127258","2503.89","33.661816","0","0"
"660.127441","2482.03","32.954048","0","0"
"660.127869","2488.33","16.099522","0","0"
"660.12793","2493.01","24.516693","0","0"
"660.130371","2486.77","22.683783","0","0"
"660.131409","2499.23","25.99436","0","0"
"660.163269","2493.01","1.759724","0","0"
"660.163574","2497.68","2.197844","0","0"
"660.166626","2478.78","1.751024","0","0"
"660.170044","2496.13","1.759735","0","0"
"660.170898","2485.21","9.02919","0","0"
"660.176453","2506.98","5.132599","0","0"
"660.177795","2503.89","4.399363","0","0"
"660.180664","2482.03","2.635267","0","0"
"660.181946","2483.63","1.644318","0","0"
"660.185059","2488.33","5.493776","0","0"
"660.185852","2489.89","4.760565","0","0"
"660.189209","2491.45","2.199703","0","0"
"660.193665","2496.13","1.466472","0","0"
"660.196777","2503.89","1.466478","0","0"
"660.202759","2505.44","2.199724","0","0"
"660.203064","2483.63","1.644344","0","0"
"660.203796","2500.78","5.858664","0","0"
"660.206848","2497.68","2.932974","0","0"
"660.214661","2499.23","3.6626","0","0"
"660.216431","2489.89","1.466496","0","0"
"660.217896","2491.45","2.93299","0","0"
"660.218506","2486.77","6.953122","0","0"
"660.221191","2506.98","2.199752","0","0"
"660.243164","2503.89","20.487772","3480","5"
"660.243408","2500.78","32.854679","3480","5"
"660.243774","2485.21","25.998175","3480","5"
"660.244629","2496.13","24.51889","3480","5"
"660.244751","2491.45","19.377464","3480","5"
"660.244934","2480.42","30.214443","3480","5"
"660.245361","2478.78","37.603287","3480","5"
"660.246155","2482.03","27.949684","3480","5"
"660.247559","2489.89","21.585896","3480","5"
"660.247559","2499.23","17.708784","3480","5"
"660.247742","2483.63","25.509951","3480","5"
"660.247803","2486.77","24.513571","3480","5"
"660.248047","2502.34","28.169046","3480","5"
"660.248718","2497.68","25.609879","3480","5"
"660.248962","2505.44","27.441238","3480","5"
"660.249023","2494.57","27.811453","3480","5"
"660.249084","2493.01","32.927799","3480","5"
"660.25061","2488.33","16.471214","3480","5"
"660.250977","2506.98","21.939653","3480","5"
"660.291077","2488.33","31.469763","0","0"
"660.292725","2506.98","22.017263","0","0"
"660.294006","2483.63","69.127586","0","0"
"660.295166","2503.89","36.359959","0","0"
"660.295227","2485.21","50.181625","0","0"
"660.295776","2493.01","38.252899","0","0"
"660.296204","2480.42","51.653717","0","0"
"660.296509","2489.89","54.113121","0","0"
"660.296936","2502.34","37.661171","0","0"
"660.29718","2494.57","39.147755","0","0"
"660.298096","2478.78","57.180714","0","0"
"660.298645","2499.23","42.435192","0","0"
"660.299255","2497.68","48.001476","0","0"
"660.299438","2496.13","34.537731","0","0"
"660.300171","2491.45","58.18116","0","0"
"660.300415","2482.03","70.322113","0","0"
"660.301147","2486.77","41.104576","0","0"
"660.301331","2505.44","26.327848","0","0"
"660.302551","2500.78","36.567978","0","0"
"660.315063","2506.98","14.268666","0","0"
"660.325806","2493.01","4.390787","0","0"
"660.326233","2494.57","10.609438","0","0"
"660.326843","2488.33","11.348201","0","0"
"660.328308","2502.34","9.872872","0","0"
"660.330139","2503.89","10.244617","0","0"
"660.333923","2505.44","8.783448","0","0"
"660.334167","2496.13","5.857459","0","0"
"660.345398","2485.21","10.836505","0","0"
"660.347229","2500.78","4.106638","0","0"
"660.348083","2493.01","4.392673","0","0"
"660.353821","2489.89","9.518726","0","0"
"660.355042","2497.68","5.126014","0","0"
"660.357849","2482.03","1.976723","0","0"
"660.360352","2488.33","6.660637","0","0"
"660.365234","2503.89","1.466664","0","0"
"660.366089","2502.34","6.589107","0","0"
"660.373169","2494.57","9.51886","0","0"
"660.382446","2505.44","4.400047","0","0"
"660.383362","2480.42","6.752545","0","0"
"660.384216","2486.77","14.294719","0","0"
"660.390503","2485.21","3.251049","0","0"
"660.393494","2478.78","3.267384","0","0"
"660.398132","2496.13","13.334232","0","0"
"660.398376","2489.89","4.400092","0","0"
"660.401245","2502.34","4.400113","0","0"
"660.406982","2503.89","2.200065","0","0"
"660.409058","2482.03","1.757151","0","0"
"660.418396","2494.57","4.028047","0","0"
"660.435425","2485.21","4.334854","0","0"
"660.451721","2488.33","11.427917","0","0"
"660.453552","2491.45","12.45285","0","0"
"660.454407","2496.13","8.063554","0","0"
"660.454895","2489.89","13.762132","0","0"
"660.456604","2500.78","19.026163","0","0"
"660.45697","2505.44","15.007158","0","0"
"660.457153","2502.34","13.916141","0","0"
"660.457336","2493.01","22.685787","0","0"
"660.459045","2478.78","20.23704","0","0"
"660.459106","2486.77","17.570385","0","0"
"660.459839","2483.63","21.936211","0","0"
"660.459961","2482.03","22.1922","0","0"
"660.459961","2485.21","9.031151","0","0"
"660.460205","2480.42","20.934128","0","0"
"660.46051","2494.57","16.842421","0","0"
"660.46228","2506.98","13.919852","0","0"
"660.463379","2497.68","10.982664","0","0"
"660.463562","2503.89","12.084496","0","0"
"660.469849","2488.33","6.954517","0","0"
"660.474915","2485.21","8.308844","0","0"
"660.479736","2493.01","2.635872","0","0"
"660.482605","2491.45","4.03188","0","0"
"660.485901","2496.13","2.200195","0","0"
"660.488831","2500.78","3.663376","0","0"
"660.493225","2489.89","1.760165","0","0"
"660.495056","2480.42","2.194772","0","0"
"660.496399","2478.78","1.045651","0","0"
"660.497742","2503.89","5.856337","0","0"
"660.503296","2505.44","3.663406","0","0"
"660.51123","2491.45","3.667068","0","0"
"660.518494","2494.57","4.393226","0","0"
"660.519348","2502.34","10.031471","0","0"
"660.522034","2497.68","5.856465","0","0"
"660.52417","2486.77","8.060313","0","0"
"660.526123","2505.44","1.760207","0","0"
"660.527832","2500.78","2.565159","0","0"
"660.546387","2483.63","27.15332","0","0"
"660.548767","2480.42","15.026368","0","0"
"660.550171","2494.57","13.834722","0","0"
"660.551575","2497.68","14.051868","0","0"
"660.55249","2496.13","23.061481","0","0"
"660.55304","2488.33","21.966784","0","0"
"660.553101","2502.34","10.253607","0","0"
"660.553345","2503.89","18.30677","0","0"
"660.553894","2500.78","22.319016","0","0"
"660.553955","2478.78","19.592104","0","0"
"660.554932","2489.89","25.982584","0","0"
"660.554932","2491.45","21.229761","0","0"
"660.555725","2506.98","14.276632","0","0"
"660.555969","2499.23","19.034876","0","0"
"660.556213","2486.77","17.936615","0","0"
"660.55658","2493.01","25.991455","0","0"
"660.557556","2482.03","20.348515","0","0"
"660.557556","2505.44","20.498274","0","0"
"660.55835","2485.21","17.702301","0","0"
"660.577515","2503.89","5.126902","0","0"
"660.581482","2502.34","4.753291","0","0"
"660.591064","2494.57","1.098374","0","0"
"660.592163","2499.23","4.980259","0","0"
"660.593933","2496.13","5.490033","0","0"
"660.598633","2506.98","4.393506","0","0"
"660.599121","2482.03","3.295129","0","0"
"660.606323","2500.78","9.889079","0","0"
"660.613159","2502.34","10.613601","0","0"
"660.613159","2505.44","2.200408","0","0"
"660.614136","2497.68","7.030425","0","0"
"660.615784","2488.33","16.475946","0","0"
"660.616638","2503.89","11.359746","0","0"
"660.61792","2478.78","10.061668","0","0"
"660.619202","2491.45","18.518633","0","0"
"660.620483","2499.23","5.127059","0","0"
"660.621094","2493.01","10.615358","0","0"
"660.621704","2494.57","7.539546","0","0"
"660.624878","2480.42","13.001073","0","0"
"660.627563","2489.89","31.118128","0","0"
"660.627563","2496.13","17.213215","0","0"
"660.627747","2506.98","10.261458","0","0"
"660.628113","2483.63","25.780504","0","0"
"660.628357","2485.21","8.092941","0","0"
"660.630188","2482.03","9.665953","0","0"
"660.630981","2486.77","14.63329","0","0"
"660.638367","2497.68","7.316695","0","0"
"660.640747","2505.44","11.359986","0","0"
"660.646851","2500.78","1.463344","0","0"
"660.654846","2491.45","3.736457","0","0"
"660.658569","2506.98","1.466991","0","0"
"660.659363","2478.78","2.536008","0","0"
"660.663818","2493.01","8.426128","0","0"
"660.665771","2485.21","4.696937","0","0"
"660.670837","2486.77","6.594273","0","0"
"660.675598","2489.89","5.488572","0","0"
"660.677429","2500.78","10.612216","0","0"
"660.677612","2488.33","8.802081","0","0"
"660.677979","2494.57","7.399313","0","0"
"660.678162","2482.03","3.07564","0","0"
"660.683716","2483.63","3.564056","0","0"
"660.690796","2497.68","9.157993","0","0"
"660.696106","2478.78","1.281109","0","0"
"660.697632","2491.45","3.663944","0","0"
"660.698364","2480.42","4.559055","0","0"
"660.702576","2506.98","2.934063","0","0"
"660.704346","2485.21","4.335762","0","0"
"660.705322","2493.01","8.055979","0","0"
"660.712402","2505.44","5.12739","0","0"
"660.747803","2497.68","57.456131","1756","5"
"660.748291","2483.63","85.061974","1756","5"
"660.748718","2496.13","61.483158","1756","5"
"660.748779","2494.57","72.892372","1756","5"
"660.749268","2500.78","68.433998","1756","5"
"660.749451","2478.78","132.039215","1756","5"
"660.749695","2506.98","64.777008","1756","5"
"660.750183","2486.77","86.731071","1756","5"
"660.750549","2491.45","56.284096","1756","5"
"660.75061","2489.89","90.759789","1756","5"
"660.750732","2499.23","65.146049","1756","5"
"660.750732","2502.34","62.574764","1756","5"
"660.750793","2480.42","101.823158","1756","5"
"660.751038","2482.03","78.919853","1756","5"
"660.751465","2505.44","57.830372","1756","5"
"660.752075","2493.01","66.219025","1756","5"
"660.752319","2488.33","65.151253","1756","5"
"660.752502","2485.21","56.056061","1756","5"
"660.755066","2503.89","84.537888","1756","5"
"660.789368","2497.68","37.350658","0","0"
"660.791321","2500.78","14.122346","0","0"
"660.793396","2506.98","16.839439","0","0"
"660.795288","2483.63","17.028309","0","0"
"660.796326","2489.89","12.439886","0","0"
"660.797729","2496.13","41.739273","0","0"
"660.798035","2491.45","16.109653","0","0"
"660.798523","2480.42","26.174501","0","0"
"660.798706","2482.03","12.527055","0","0"
"660.799133","2505.44","22.704622","0","0"
"660.799194","2503.89","10.980381","0","0"
"660.799255","2502.34","28.910854","0","0"
"660.801941","2494.57","9.076747","0","0"
"660.802246","2488.33","8.054766","0","0"
"660.803345","2485.21","15.971318","0","0"
"660.805908","2499.23","28.045372","0","0"
"660.806091","2486.77","32.962238","0","0"
"660.806091","2493.01","15.752102","0","0"
"660.828308","2506.98","3.664318","0","0"
"660.830078","2503.89","8.790378","0","0"
"660.830383","2488.33","8.062267","0","0"
"660.831909","2494.57","7.328707","0","0"
"660.833069","2483.63","3.948326","0","0"
"660.835083","2500.78","7.328691","0","0"
"660.836365","2489.89","2.855573","0","0"
"660.839478","2491.45","1.467192","0","0"
"660.845886","2502.34","4.401613","0","0"
"660.850342","2485.21","2.890827","0","0"
"660.851562","2480.42","1.925161","0","0"
"660.856567","2489.89","1.098593","0","0"
"660.859924","2496.13","2.200818","0","0"
"660.860046","2482.03","1.098593","0","0"
"660.861572","2503.89","1.098595","0","0"
"660.864807","2506.98","4.40165","0","0"
"660.867615","2499.23","2.200834","0","0"
"660.868958","2483.63","2.46776","0","0"
"660.87085","2505.44","3.295808","0","0"
"660.873291","2488.33","6.230291","0","0"
"660.873474","2485.21","2.16816","0","0"
"660.874084","2482.03","2.636658","0","0"
"660.874329","2478.78","1.438174","0","0"
"660.877136","2497.68","1.467229","0","0"
"660.878479","2489.89","2.930827","0","0"
"660.881897","2480.42","4.221936","0","0"
"660.891724","2503.89","3.668126","0","0"
"660.893494","2497.68","1.760701","0","0"
"660.896484","2505.44","2.200882","0","0"
"660.898132","2489.89","1.467254","0","0"
"660.901306","2502.34","2.934514","0","0"
"660.908752","2482.03","1.933594","0","0"
"660.915527","2480.42","7.093022","0","0"
"660.916809","2497.68","1.83228","0","0"
"660.91748","2503.89","2.930924","0","0"
"660.918945","2506.98","2.200919","0","0"
"660.919617","2478.78","6.145133","0","0"
"660.923523","2488.33","2.565933","0","0"
"660.923523","2489.89","3.66821","0","0"
"660.92395","2493.01","1.467282","0","0"
"660.927917","2485.21","5.420619","0","0"
"660.929199","2505.44","5.858264","0","0"
"660.930786","2503.89","1.467293","0","0"
"660.935059","2482.03","4.394632","0","0"
"660.936707","2497.68","2.19732","0","0"
